Gene ID	Species	GeneName	Symbol
NM_018002	55074	Homo sapiens	oxidation resistance 1(OXR1)	OXR1
NM_018000	55686	Homo sapiens	melanoregulin(MREG)	MREG
NM_018006	55687	Homo sapiens	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase(TRMU)	TRMU
NM_004212	9153	Homo sapiens	solute carrier family 28 member 2(SLC28A2)	SLC28A2
NM_018004	55076	Homo sapiens	transmembrane protein 45A(TMEM45A)	TMEM45A
NM_004210	9148	Homo sapiens	neuralized E3 ubiquitin protein ligase 1(NEURL1)	NEURL1
NM_018003	55075	Homo sapiens	uveal autoantigen with coiled-coil domains and ankyrin repeats(UACA)	UACA
NR_015439	550112	Homo sapiens	UBA6 antisense RNA 1 (head to head)(UBA6-AS1)	UBA6-AS1
NR_015444	100128076	Homo sapiens	protein tyrosine phosphatase pseudogene(LOC100128076)	LOC100128076
NR_015441	652276	Homo sapiens	potassium channel tetramerization domain containing 5 pseudogene(LOC652276)	LOC652276
NR_015442	401397	Homo sapiens	long intergenic non-protein coding RNA 998(LINC00998)	LINC00998
NR_015447	153684	Homo sapiens	uncharacterized LOC153684(LOC153684)	LOC153684
NR_015448	285987	Homo sapiens	DLX6 antisense RNA 1(DLX6-AS1)	DLX6-AS1
NR_015445	286076	Homo sapiens	breast cancer estrogen-induced apoptosis 2(BREA2)	BREA2
NR_015446	100130017	Homo sapiens	ferritin light chain pseudogene 10(FTLP10)	FTLP10
NM_001122659	1910	Homo sapiens	endothelin receptor type B(EDNRB)	EDNRB
NM_004205	9099	Homo sapiens	ubiquitin specific peptidase 2(USP2)	USP2
NM_004204	9091	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class Q(PIGQ)	PIGQ
NM_004203	9088	Homo sapiens	protein kinase, membrane associated tyrosine/threonine 1(PKMYT1)	pkmyt1
NM_004202	9087	Homo sapiens	thymosin beta 4, Y-linked(TMSB4Y)	TMSB4Y
NM_004209	9143	Homo sapiens	synaptogyrin 3(SYNGR3)	SYNGR3
NM_004208	9131	Homo sapiens	apoptosis inducing factor, mitochondria associated 1(AIFM1)	AIFM1
NM_004207	9123	Homo sapiens	solute carrier family 16 member 3(SLC16A3)	SLC16A3
NM_001111113	3093	Homo sapiens	ubiquitin conjugating enzyme E2 K(UBE2K)	UBE2K
NM_004206	9117	Homo sapiens	SEC22 homolog C, vesicle trafficking protein(SEC22C)	SEC22C
NM_001111112	3093	Homo sapiens	ubiquitin conjugating enzyme E2 K(UBE2K)	UBE2K
NM_004220	7760	Homo sapiens	zinc finger protein 213(ZNF213)	ZNF213
NM_004221	9235	Homo sapiens	interleukin 32(IL32)	IL32
NM_004223	9246	Homo sapiens	ubiquitin conjugating enzyme E2 L6(UBE2L6)	UBE2L6
NR_015427	266655	Homo sapiens	long intergenic non-protein coding RNA 94(LINC00094)	LINC00094
NR_015429	283050	Homo sapiens	ZMIZ1 antisense RNA 1(ZMIZ1-AS1)	ZMIZ1-AS1
NR_015430	388011	Homo sapiens	long intergenic non-protein coding RNA 1550(LINC01550)	LINC01550
NR_003006	677772	Homo sapiens	small Cajal body-specific RNA 6(SCARNA6)	Scarna6
NR_015431	378805	Homo sapiens	long intergenic non-protein coding RNA, p53 induced transcript(LINC-PINT)	LINC-PINT
NR_003005	677771	Homo sapiens	small Cajal body-specific RNA 4(SCARNA4)	SCARNA4
NR_015432	388789	Homo sapiens	long intergenic non-protein coding RNA 493(LINC00493)	LINC00493
NR_015433	93622	Homo sapiens	Morf4 family associated protein 1 like 1 pseudogene(LOC93622)	LOC93622
NR_003004	677770	Homo sapiens	small Cajal body-specific RNA 22(SCARNA22)	SCARNA22
NR_003003	677769	Homo sapiens	small Cajal body-specific RNA 17(SCARNA17)	Scarna17
NR_015434	148413	Homo sapiens	uncharacterized LOC148413(LOC148413)	LOC148413
NR_003002	677768	Homo sapiens	small Cajal body-specific RNA 13(SCARNA13)	Scarna13
NR_003001	677767	Homo sapiens	small Cajal body-specific RNA 7(SCARNA7)	SCARNA7
NR_015436	645323	Homo sapiens	long intergenic non-protein coding RNA 461(LINC00461)	LINC00461
NR_003000	677763	Homo sapiens	small Cajal body-specific RNA 21(SCARNA21)	SCARNA21
NM_001122646	51252	Homo sapiens	family with sequence similarity 178 member B(FAM178B)	FAM178B
NM_004214	9158	Homo sapiens	FGF1 intracellular binding protein(FIBP)	FIBP
NM_004213	9154	Homo sapiens	solute carrier family 28 member 1(SLC28A1)	SLC28A1
NM_004215	9166	Homo sapiens	estrogen receptor binding site associated, antigen, 9(EBAG9)	EBAG9
NM_001111125	23096	Homo sapiens	IQ motif and Sec7 domain 2(IQSEC2)	IQSEC2
NM_004218	9230	Homo sapiens	RAB11B, member RAS oncogene family(RAB11B)	RAB11B
NM_004217	9212	Homo sapiens	aurora kinase B(AURKB)	AURKB
NM_004219	9232	Homo sapiens	pituitary tumor-transforming 1(PTTG1)	PTTG1
NM_004233	9308	Homo sapiens	CD83 molecule(CD83)	CD83
NM_004234	9310	Homo sapiens	zinc finger protein 235(ZNF235)	ZNF235
