From_left	Log2Ratio	p_value	MaxRPKM	ID	Species	GeneName	Symbol
NM_000014	-4.79	0.102	239.75	2	Homo sapiens	alpha-2-macroglobulin(A2M)	A2M
NM_000015	-3.29	0.0767	313.17	10	Homo sapiens	N-acetyltransferase 2(NAT2)	NAT2
NM_000018	-1.83	0.328	8959.17	37	Homo sapiens	acyl-CoA dehydrogenase, very long chain(ACADVL)	ACADVL
NM_000030	-4.54	0.167	23.24	189	Homo sapiens	alanine-glyoxylate aminotransferase(AGXT)	AGXT
NM_000032	-1.57	0.156	6.84	212	Homo sapiens	5'-aminolevulinate synthase 2(ALAS2)	alas2
NM_000036	-2.44	0.381	53.12	270	Homo sapiens	adenosine monophosphate deaminase 1(AMPD1)	AMPD1
NM_000041	-3.53	0.378	16254.14	348	Homo sapiens	apolipoprotein E(APOE)	APOE
NM_000045	-3.83	0.179	10.03	383	Homo sapiens	arginase 1(ARG1)	ARG1
NM_000054	-1.72	0.212	55.62	554	Homo sapiens	arginine vasopressin receptor 2(AVPR2)	AVPR2
NM_000055	-1.1	0.53	3867.26	590	Homo sapiens	butyrylcholinesterase(BCHE)	BCHE
NM_000061	-1.86	0.419	24.16	695	Homo sapiens	Bruton tyrosine kinase(BTK)	BTK
NM_000067	-3	0.236	6441.11	760	Homo sapiens	carbonic anhydrase 2(CA2)	CA2
NM_000069	-2.46	0.152	25.97	779	Homo sapiens	calcium voltage-gated channel subunit alpha1 S(CACNA1S)	CACNA1S
NM_000070	-3.12	0.405	200.72	825	Homo sapiens	calpain 3(CAPN3)	CAPN3
NM_000072	-2.15	0.367	171.75	948	Homo sapiens	CD36 molecule(CD36)	CD36
NM_000085	-5.67	0.188	174.32	1188	Homo sapiens	chloride voltage-gated channel Kb(CLCNKB)	CLCNKB
NM_000086	-1.79	0.0922	26287.53	1201	Homo sapiens	CLN3, battenin(CLN3)	CLN3
NM_000087	-3.06	0.109	137.3	1259	Homo sapiens	cyclic nucleotide gated channel alpha 1(CNGA1)	CNGA1
NM_000091	-3.28	0.0882	457.73	1285	Homo sapiens	collagen type IV alpha 3 chain(COL4A3)	COL4A3
NM_000096	-2.19	0.147	860.53	1356	Homo sapiens	ceruloplasmin(CP)	CP
NM_000101	-1.29	0.362	11630.38	1535	Homo sapiens	cytochrome b-245 alpha chain(CYBA)	CYBA
NM_000102	-1.35	0.219	18.32	1586	Homo sapiens	cytochrome P450 family 17 subfamily A member 1(CYP17A1)	CYP17A1
NM_000107	-1.19	0.0715	7382.36	1643	Homo sapiens	damage specific DNA binding protein 2(DDB2)	ddb2
NM_000111	-5.3	0.147	206.43	1811	Homo sapiens	solute carrier family 26 member 3(SLC26A3)	SLC26A3
NM_000120	-1.9	0.0706	1076.57	2052	Homo sapiens	epoxide hydrolase 1(EPHX1)	EPHX1
NM_000125	-10.8	0.0565	37414.59	2099	Homo sapiens	estrogen receptor 1(ESR1)	ESR1
NM_000132	-1.02	0.39	850.4	2157	Homo sapiens	coagulation factor VIII(F8)	F8
NM_000137	-1.95	0.059	9235.69	2184	Homo sapiens	fumarylacetoacetate hydrolase(FAH)	FAH
NM_000141	-2.07	0.301	980.74	2263	Homo sapiens	fibroblast growth factor receptor 2(FGFR2)	FGFR2
NM_000142	-1.56	0.225	1883.82	2261	Homo sapiens	fibroblast growth factor receptor 3(FGFR3)	FGFR3
NM_000147	-1.44	0.0827	8439.66	2517	Homo sapiens	fucosidase, alpha-L- 1, tissue(FUCA1)	FUCA1
NM_000149	-6.33	0.264	1000.64	2525	Homo sapiens	fucosyltransferase 3 (Lewis blood group)(FUT3)	FUT3
