Gene ID	Log2Ratio	p-value	Max RPKM
NM_130786	0.14	8.68E-01	2931.69
NR_015380	-0.99	2.24E-01	1649.26
NM_138932	-0.02	9.83E-01	1.67
NM_014576	-0.02	9.85E-01	1.77
NM_138933	0.02	9.79E-01	1.83
NM_000014	-4.79	1.02E-01	239.75
NR_026971	-0.67	6.17E-01	213.79
NM_144670	-5.96	1.30E-01	610.64
NM_001080438	-1.97	3.47E-01	3.91
NM_017436	-1.09	5.02E-01	6186.83
NM_016161	2.02	5.97E-02	149.85
NM_015665	-0.27	5.68E-01	13330.34
NM_023928	-1.42	1.03E-02	22828.45
NR_024035	-1.06	5.96E-01	6.13
NM_001086	2.29	2.49E-01	323.61
NM_001103170	-3.70	3.83E-01	45.69
NM_001103169	-1.77	5.03E-01	11.28
NM_001013630	-2.34	3.47E-01	5.07
NM_016228	-0.83	4.65E-01	4791.17
NM_182662	0.72	5.32E-01	198.72
NM_153698	1.58	8.31E-03	7879.80
NM_024666	-0.77	1.26E-02	46757.06
NM_014911	0.90	2.03E-02	26426.36
NM_024684	-0.01	9.82E-01	2117.73
NM_001087	0.12	8.64E-01	14076.24
NM_001088	-1.62	1.46E-01	31.85
NM_015511	0.12	8.25E-01	10491.96
NM_001025357	2.02	4.44E-01	14788.50
NM_001605	-0.57	1.09E-01	273101.00
NM_020745	0.36	4.87E-01	11876.00
NM_181806	-0.17	7.48E-01	3339.36
NM_015423	0.70	1.02E-01	37787.69
NM_005763	4.09	1.74E-01	6988.43
NM_012138	1.04	1.18E-01	27563.08
NM_001080395	-0.50	6.92E-01	760.71
NR_027255	-3.85	6.92E-02	14.43
NM_020686	-6.44	3.18E-03	103245.03
NM_000663	-5.94	1.02E-02	5492.22
NM_001127448	-4.12	1.30E-01	3773.67
NM_005502	-0.10	9.42E-01	9220.95
NM_080282	1.22	2.69E-01	299.74
NR_002451	-0.19	7.06E-01	1773.11
NM_173076	-10.68	5.79E-03	197668.99
NM_015657	-10.21	7.42E-03	22263.16
NM_152701	1.95	2.95E-01	726.55
NR_003574	-2.07	1.95E-02	471.87
NM_212533	-2.40	1.08E-02	12880.24
NM_001606	-1.36	9.38E-02	29460.89
NM_001089	-2.55	4.27E-02	136018.56
NM_000350	-3.43	3.67E-01	3151.37
NM_018672	-2.64	9.34E-02	11369.37
NM_172232	0.12	9.36E-01	828.47
NM_080284	3.33	3.91E-01	736.66
NM_019112	-1.87	8.86E-03	10120.97
NM_007168	3.22	1.52E-01	9.34
NM_080283	-0.54	2.64E-01	159.03
NM_000927	-0.52	7.63E-01	327.66
NM_012089	-0.26	6.99E-01	25693.02
NM_003742	-3.49	3.05E-01	11.23
NM_018849	-6.64	3.36E-03	222.82
NM_018850	-6.42	3.19E-02	186.40
NM_000443	-6.17	9.66E-03	164.49
NM_001163942	-0.52	6.27E-01	30.05
NM_178559	-0.34	6.80E-01	67.21
NM_001163941	-0.15	8.52E-01	71.90
NM_001163993	-0.84	3.47E-01	0.56
NM_005689	-1.70	7.27E-02	25262.20
NM_004299	0.02	9.76E-01	4475.96
NM_007188	-0.76	4.25E-01	3644.48
NM_019625	-2.44	2.19E-01	7448.45
NM_203444	-1.21	5.61E-02	4609.60
NM_019624	-0.78	4.38E-01	2007.19
NM_019900	-0.50	2.32E-01	4674.10
NM_004996	0.25	4.66E-01	31906.51
NM_019899	0.39	3.95E-01	7253.39
NM_019862	0.78	1.25E-02	13160.08
NM_019898	0.86	1.52E-01	3783.54
NM_033450	0.98	3.15E-01	2422.70
NM_033151	-9.34	7.01E-02	28627.09
NM_032583	-8.60	1.44E-01	19314.07
NM_145186	-8.10	1.23E-01	6071.20
NM_033226	-8.27	1.09E-01	413.13
NR_003087	-6.22	1.72E-01	381.97
NR_003088	-5.62	1.46E-01	49.13
NM_000392	-2.63	1.81E-01	41254.04
NM_003786	-0.37	8.17E-01	20599.22
NM_001144070	0.37	7.79E-01	3294.58
NM_001105515	1.54	8.06E-02	1872.45
NM_005845	3.20	8.25E-03	14491.97
NM_005688	-2.37	2.78E-01	49518.14
NM_001023587	-0.39	6.31E-01	2285.05
NM_001171	-8.15	6.05E-02	7696.35
NM_001079528	-6.15	1.94E-02	1140.19
NR_003569	-7.46	1.11E-01	815.00
NR_023387	-5.10	4.04E-02	1893.89
NM_000352	-7.37	3.50E-02	1693.40
NM_020297	3.02	5.59E-02	1199.06
NM_005691	4.13	3.96E-02	1313.22
NM_020298	6.23	7.46E-02	1073.00
NM_000033	-0.95	1.75E-01	18586.13
NM_005164	7.33	1.35E-01	160.50
NM_002858	-0.49	2.13E-01	2752.88
NM_001122674	0.28	7.21E-01	622.18
