From_left	Log2Ratio	p_value	MaxRPKM	ID	Species	GeneName	Symbol
NM_000016	0.3	0.647	6153.27	34	Homo sapiens	acyl-CoA dehydrogenase, C-4 to C-12 straight chain(ACADM)	ACADM
NM_000019	1	0.0829	41136.22	38	Homo sapiens	acetyl-CoA acetyltransferase 1(ACAT1)	ACAT1
NM_000022	1.42	0.0844	2282.31	100	Homo sapiens	adenosine deaminase(ADA)	ADA
NM_000023	8.62	0.315	393.7	6442	Homo sapiens	sarcoglycan alpha(SGCA)	SGCA
NM_000024	7.04	0.178	11735.79	154	Homo sapiens	adrenoceptor beta 2(ADRB2)	ADRB2
NM_000029	0.71	0.695	250.67	183	Homo sapiens	angiotensinogen(AGT)	AGT
NM_000034	0.38	0.651	24783.12	226	Homo sapiens	aldolase, fructose-bisphosphate A(ALDOA)	ALDOA
NM_000035	1.36	0.476	11.08	229	Homo sapiens	aldolase, fructose-bisphosphate B(ALDOB)	ALDOB
NM_000037	4.8	0.271	1485.74	286	Homo sapiens	ankyrin 1(ANK1)	ANK1
NM_000038	0.78	0.33	1449.35	324	Homo sapiens	APC, WNT signaling pathway regulator(APC)	APC
NM_000040	0.98	0.672	3.81	345	Homo sapiens	apolipoprotein C3(APOC3)	Apoc3
NM_000042	4.31	0.0661	19.82	350	Homo sapiens	apolipoprotein H(APOH)	APOH
NM_000043	1.61	0.166	4656.94	355	Homo sapiens	Fas cell surface death receptor(FAS)	FAS
NM_000057	0.8	0.415	3437	641	Homo sapiens	Bloom syndrome RecQ like helicase(BLM)	BLM
NM_000059	0.99	0.166	18909.91	675	Homo sapiens	BRCA2, DNA repair associated(BRCA2)	brca2
NM_000062	2.9	0.395	2138.98	710	Homo sapiens	serpin family G member 1(SERPING1)	SERPING1
NM_000064	3.68	0.314	36229.39	718	Homo sapiens	complement C3(C3)	C3
NM_000071	0.02	0.984	27388.92	875	Homo sapiens	cystathionine-beta-synthase(CBS)	CBS
NM_000075	0.19	0.61	76116.44	1019	Homo sapiens	cyclin dependent kinase 4(CDK4)	CDK4
NM_000076	1.41	0.265	664.78	1028	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)	CDKN1C
NM_000077	3.54	0.386	5827.7	1029	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)	CDKN2A
NM_000078	1.38	0.309	3.34	1071	Homo sapiens	cholesteryl ester transfer protein(CETP)	CETP
NM_000079	6.06	0.337	66.53	1134	Homo sapiens	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	CHRNA1
NM_000081	0.91	0.233	17184.43	1130	Homo sapiens	lysosomal trafficking regulator(LYST)	LYST
NM_000082	0.57	0.45	3026.51	1161	Homo sapiens	ERCC excision repair 8, CSA ubiquitin ligase complex subunit(ERCC8)	ERCC8
NM_000083	0.01	0.994	4.04	1180	Homo sapiens	chloride voltage-gated channel 1(CLCN1)	CLCN1
NM_000084	0.89	0.171	1107.88	1184	Homo sapiens	chloride voltage-gated channel 5(CLCN5)	CLCN5
NM_000088	6.27	0.191	2305271.5	1277	Homo sapiens	collagen type I alpha 1 chain(COL1A1)	COL1A1
NM_000089	10.09	0.235	1589696.65	1278	Homo sapiens	collagen type I alpha 2 chain(COL1A2)	COL1A2
NM_000090	9.66	0.308	497962.46	1281	Homo sapiens	collagen type III alpha 1 chain(COL3A1)	COL3A1
NM_000093	5.28	0.18	351195.71	1289	Homo sapiens	collagen type V alpha 1 chain(COL5A1)	COL5A1
NM_000094	2.77	0.0818	33795.76	1294	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)	COL7A1
NM_000095	1.08	0.46	4.26	1311	Homo sapiens	cartilage oligomeric matrix protein(COMP)	COMP
NM_000100	1.76	0.0789	87686.78	1476	Homo sapiens	cystatin B(CSTB)	CSTB
NM_000103	0.96	0.67	41.37	1588	Homo sapiens	cytochrome P450 family 19 subfamily A member 1(CYP19A1)	CYP19A1
NM_000104	0.45	0.704	132131.08	1545	Homo sapiens	cytochrome P450 family 1 subfamily B member 1(CYP1B1)	CYP1B1
NM_000108	0.03	0.938	41049.95	1738	Homo sapiens	dihydrolipoamide dehydrogenase(DLD)	DLD
NM_000109	2.46	0.38	996.68	1756	Homo sapiens	dystrophin(DMD)	DMD
NM_000112	1.11	0.148	56612.05	1836	Homo sapiens	solute carrier family 26 member 2(SLC26A2)	SLC26A2
NM_000113	0.32	0.494	35683.17	1861	Homo sapiens	torsin family 1 member A(TOR1A)	TOR1A
NM_000115	12.1	0.253	4401.79	1910	Homo sapiens	endothelin receptor type B(EDNRB)	EDNRB
NM_000117	0.59	0.237	54252.31	2010	Homo sapiens	emerin(EMD)	EMD
NM_000118	1.87	0.0849	9702.55	2022	Homo sapiens	endoglin(ENG)	ENG
NM_000119	1.2	0.347	0.44	2038	Homo sapiens	erythrocyte membrane protein band 4.2(EPB42)	EPB42
NM_000121	1.3	0.277	789.33	2057	Homo sapiens	erythropoietin receptor(EPOR)	EPOR
NM_000129	6.34	0.347	80.78	2162	Homo sapiens	coagulation factor XIII A chain(F13A1)	F13A1
NM_000135	0.5	0.562	12946.89	2175	Homo sapiens	Fanconi anemia complementation group A(FANCA)	FANCA
NM_000138	8.58	0.226	267508.15	2200	Homo sapiens	fibrillin 1(FBN1)	FBN1
NM_000144	0.2	0.377	437.65	2395	Homo sapiens	frataxin(FXN)	FXN
NM_000153	0.6	0.472	3665.62	2581	Homo sapiens	galactosylceramidase(GALC)	GALC
NM_000157	0.36	0.677	11545.62	2629	Homo sapiens	glucosylceramidase beta(GBA)	GBA
NM_000159	0.13	0.767	4456.36	2639	Homo sapiens	glutaryl-CoA dehydrogenase(GCDH)	GCDH
NM_000165	2.3	0.0979	259890.05	2697	Homo sapiens	gap junction protein alpha 1(GJA1)	GJA1
NM_000168	0.45	0.474	21553.72	2737	Homo sapiens	GLI family zinc finger 3(GLI3)	GLI3
NM_000169	0.48	0.46	14493.53	2717	Homo sapiens	galactosidase alpha(GLA)	GLA
NM_000170	0.81	0.645	5030.85	2731	Homo sapiens	glycine decarboxylase(GLDC)	GLDC
NM_000178	0.53	0.51	15376.03	2937	Homo sapiens	glutathione synthetase(GSS)	GSS
NM_000179	0.37	0.448	33252.69	2956	Homo sapiens	mutS homolog 6(MSH6)	MSH6
NM_000182	0.08	0.736	87308.44	3030	Homo sapiens	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit(HADHA)	HADHA
NM_000184	4.8	0.2	27.78	3048	Homo sapiens	hemoglobin subunit gamma 2(HBG2)	HBG2
NM_000186	8.22	0.0729	25713.72	3075	Homo sapiens	complement factor H(CFH)	CFH
NM_000188	0.05	0.925	151696.34	3098	Homo sapiens	hexokinase 1(HK1)	HK1
NM_000189	0.79	0.162	101513.04	3099	Homo sapiens	hexokinase 2(HK2)	HK2
NM_000190	0.39	0.796	1493.71	3145	Homo sapiens	hydroxymethylbilane synthase(HMBS)	HMBS
NM_000192	1.18	0.345	5.9	6910	Homo sapiens	T-box 5(TBX5)	TBX5
NM_000193	1.08	0.625	147.42	6469	Homo sapiens	sonic hedgehog(SHH)	SHH
NM_000194	0.43	0.0992	2180.26	3251	Homo sapiens	hypoxanthine phosphoribosyltransferase 1(HPRT1)	HPRT1
NM_000202	0.16	0.848	56665.65	3423	Homo sapiens	iduronate 2-sulfatase(IDS)	IDS
NM_000206	2.87	0.398	90.82	3561	Homo sapiens	interleukin 2 receptor subunit gamma(IL2RG)	IL2RG
NM_000210	3.23	0.087	47058.26	3655	Homo sapiens	integrin subunit alpha 6(ITGA6)	ITGA6
NM_000212	6.1	0.0956	21814.71	3690	Homo sapiens	integrin subunit beta 3(ITGB3)	ITGB3
NM_000214	4.5	0.0861	115878.01	182	Homo sapiens	jagged 1(JAG1)	JAG1
NM_000217	4.2	0.342	44.85	3736	Homo sapiens	potassium voltage-gated channel subfamily A member 1(KCNA1)	KCNA1
NM_000226	1.45	0.491	55.77	3857	Homo sapiens	keratin 9(KRT9)	KRT9
NM_000228	3.97	0.338	28403.23	3914	Homo sapiens	laminin subunit beta 3(LAMB3)	LAMB3
NM_000229	1.14	0.084	4512.31	3931	Homo sapiens	lecithin-cholesterol acyltransferase(LCAT)	LCAT
NM_000235	0.08	0.824	27186.95	3988	Homo sapiens	lipase A, lysosomal acid type(LIPA)	lipA
NM_000236	0.97	0.347	1.96	3990	Homo sapiens	lipase C, hepatic type(LIPC)	LIPC
NM_000237	3.4	0.143	261.25	4023	Homo sapiens	lipoprotein lipase(LPL)	LPL
NM_000240	2.7	0.228	9869.94	4128	Homo sapiens	monoamine oxidase A(MAOA)	MAOA
NM_000245	1.68	0.212	3800.11	4233	Homo sapiens	MET proto-oncogene, receptor tyrosine kinase(MET)	MET
NM_000246	1.62	0.345	172.54	4261	Homo sapiens	class II major histocompatibility complex transactivator(CIITA)	ciita
NM_000247	2.8	0.153	50233.07	100507436	Homo sapiens	MHC class I polypeptide-related sequence A(MICA)	MICA
NM_000248	4.86	0.262	3057.45	4286	Homo sapiens	melanogenesis associated transcription factor(MITF)	MITF
NM_000249	0.21	0.677	14087.52	4292	Homo sapiens	mutL homolog 1(MLH1)	MLH1
NM_000250	0.93	0.685	5.75	4353	Homo sapiens	myeloperoxidase(MPO)	MPO
NM_000251	0.34	0.547	39720.74	4436	Homo sapiens	mutS homolog 2(MSH2)	MSH2
NM_000253	1.33	0.181	42.4	4547	Homo sapiens	microsomal triglyceride transfer protein(MTTP)	MTTP
NM_000255	0.37	0.284	23924.75	4594	Homo sapiens	methylmalonyl-CoA mutase(MUT)	MUT
NM_000268	1.39	0.0965	16127.56	4771	Homo sapiens	neurofibromin 2(NF2)	NF2
NM_000269	0.42	0.362	63743.89	4830	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 1(NME1)	NME1
NM_000270	0.33	0.61	37797.65	4860	Homo sapiens	purine nucleoside phosphorylase(PNP)	PNP
NM_000271	1.71	0.0571	77267.76	4864	Homo sapiens	NPC intracellular cholesterol transporter 1(NPC1)	NPC1
NM_000276	0.11	0.544	1024.42	4952	Homo sapiens	OCRL, inositol polyphosphate-5-phosphatase(OCRL)	OCRL
NM_000280	2.11	0.266	2241.53	5080	Homo sapiens	paired box 6(PAX6)	PAX6
NM_000285	0.26	0.601	21086.13	5184	Homo sapiens	peptidase D(PEPD)	PEPD
NM_000289	0.08	0.877	10870.69	5213	Homo sapiens	phosphofructokinase, muscle(PFKM)	PFKM
NM_000291	0.19	0.598	326907.58	5230	Homo sapiens	phosphoglycerate kinase 1(PGK1)	PGK1
NM_000297	1.47	0.0884	21986.2	5311	Homo sapiens	polycystin 2, transient receptor potential cation channel(PKD2)	PKD2
NM_000305	0.37	0.595	21811.66	5445	Homo sapiens	paraoxonase 2(PON2)	PON2
NM_000308	3.24	0.115	1192.9	5476	Homo sapiens	cathepsin A(CTSA)	CTSA
NM_000316	1.72	0.373	91.03	5745	Homo sapiens	parathyroid hormone 1 receptor(PTH1R)	PTH1R
NM_000317	0.44	0.298	6112.46	5805	Homo sapiens	6-pyruvoyltetrahydropterin synthase(PTS)	PTS
NM_000318	0.36	0.371	26589.14	5828	Homo sapiens	peroxisomal biogenesis factor 2(PEX2)	PEX2
NM_000319	0.34	0.295	627.37	5830	Homo sapiens	peroxisomal biogenesis factor 5(PEX5)	PEX5
NM_000320	1.37	0.167	9458.48	5860	Homo sapiens	quinoid dihydropteridine reductase(QDPR)	QDPR
NM_000321	0.43	0.463	45880.08	5925	Homo sapiens	RB transcriptional corepressor 1(RB1)	RB1
NM_000328	0.83	0.403	3394.31	6103	Homo sapiens	retinitis pigmentosa GTPase regulator(RPGR)	RPGR
NM_000329	3.49	0.156	11.24	6121	Homo sapiens	RPE65, retinoid isomerohydrolase(RPE65)	RPE65
NM_000331	5.73	0.297	592.86	6288	Homo sapiens	serum amyloid A1(SAA1)	SAA1
NM_000332	0.2	0.813	28400.63	6310	Homo sapiens	ataxin 1(ATXN1)	ATXN1
NM_000335	0.95	0.556	82.57	6331	Homo sapiens	sodium voltage-gated channel alpha subunit 5(SCN5A)	SCN5A
NM_000337	4.63	0.343	724.58	6444	Homo sapiens	sarcoglycan delta(SGCD)	SGCD
NM_000340	0.04	0.985	0.86	6514	Homo sapiens	solute carrier family 2 member 2(SLC2A2)	SLC2A2
NM_000341	3.32	0.198	1201.86	6519	Homo sapiens	solute carrier family 3 member 1(SLC3A1)	SLC3A1
NM_000345	6.94	0.136	3080.83	6622	Homo sapiens	synuclein alpha(SNCA)	snca
NM_000355	3.55	0.0811	1315.49	6948	Homo sapiens	transcobalamin 2(TCN2)	TCN2
NM_000361	1.93	0.208	12769	7056	Homo sapiens	thrombomodulin(THBD)	THBD
NM_000362	5.02	0.142	170863.34	7078	Homo sapiens	TIMP metallopeptidase inhibitor 3(TIMP3)	TIMP3
NM_000366	0.58	0.657	1051.94	7168	Homo sapiens	tropomyosin 1 (alpha)(TPM1)	TPM1
NM_000367	0.03	0.927	10917.91	7172	Homo sapiens	thiopurine S-methyltransferase(TPMT)	TPMT
NM_000372	3.61	0.34	53.2	7299	Homo sapiens	tyrosinase(TYR)	TYR
NM_000373	0.71	0.179	22528.66	7372	Homo sapiens	uridine monophosphate synthetase(UMPS)	UMPS
NM_000374	0.35	0.694	3690.19	7389	Homo sapiens	uroporphyrinogen decarboxylase(UROD)	UROD
NM_000379	2.21	0.393	3404.88	7498	Homo sapiens	xanthine dehydrogenase(XDH)	XDH
NM_000381	3.14	0.154	14158.59	4281	Homo sapiens	midline 1(MID1)	MID1
NM_000383	0.16	0.937	0.81	326	Homo sapiens	autoimmune regulator(AIRE)	aire
NM_000384	3.45	0.169	113.07	338	Homo sapiens	apolipoprotein B(APOB)	APOB
NM_000386	0.89	0.118	20537.29	642	Homo sapiens	bleomycin hydrolase(BLMH)	BLMH
NM_000391	0.4	0.0745	1111.33	1200	Homo sapiens	tripeptidyl peptidase 1(TPP1)	TPP1
NM_000393	7.19	0.057	223934.33	1290	Homo sapiens	collagen type V alpha 2 chain(COL5A2)	COL5A2
NM_000394	0.05	0.982	2.52	1409	Homo sapiens	crystallin alpha A(CRYAA)	cryaa
NM_000397	1.38	0.4	199.64	1536	Homo sapiens	cytochrome b-245 beta chain(CYBB)	CYBB
NM_000398	0.73	0.28	44186.6	1727	Homo sapiens	cytochrome b5 reductase 3(CYB5R3)	cyb5r3
NM_000400	1.47	0.0875	8944.01	2068	Homo sapiens	ERCC excision repair 2, TFIIH core complex helicase subunit(ERCC2)	ERCC2
NM_000401	1.17	0.292	3983.59	2132	Homo sapiens	exostosin glycosyltransferase 2(EXT2)	EXT2
NM_000407	0.54	0.47	242.16	2812	Homo sapiens	glycoprotein Ib platelet beta subunit(GP1BB)	GP1BB
NM_000409	0.27	0.347	0.83	2978	Homo sapiens	guanylate cyclase activator 1A(GUCA1A)	GUCA1A
NM_000414	0.11	0.889	14070.56	3295	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 4(HSD17B4)	HSD17B4
NM_000417	2	0.418	126	3559	Homo sapiens	interleukin 2 receptor subunit alpha(IL2RA)	IL2RA
NM_000418	0.9	0.294	11481.22	3566	Homo sapiens	interleukin 4 receptor(IL4R)	IL4R
NM_000422	4.58	0.363	20267.64	3872	Homo sapiens	keratin 17(KRT17)	krt17
NM_000428	2.7	0.0862	31239.41	4053	Homo sapiens	latent transforming growth factor beta binding protein 2(LTBP2)	LTBP2
NM_000430	0.28	0.326	97357.63	5048	Homo sapiens	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)	PAFAH1B1
NM_000432	2.47	0.156	5.55	4633	Homo sapiens	myosin light chain 2(MYL2)	MYL2
NM_000434	0.76	0.273	59785.09	4758	Homo sapiens	neuraminidase 1(NEU1)	NEU1
NM_000436	1.48	0.114	28416.28	5019	Homo sapiens	3-oxoacid CoA-transferase 1(OXCT1)	OXCT1
NM_000439	1.32	0.332	42.9	5122	Homo sapiens	proprotein convertase subtilisin/kexin type 1(PCSK1)	pcsk1
NM_000441	2.43	0.0836	94.76	5172	Homo sapiens	solute carrier family 26 member 4(SLC26A4)	SLC26A4
NM_000442	1.23	0.314	257.23	5175	Homo sapiens	platelet and endothelial cell adhesion molecule 1(PECAM1)	PECAM1
NM_000450	1.54	0.254	6.4	6401	Homo sapiens	selectin E(SELE)	SELE
