From_left	Log2Ratio	p_value	MaxRPKM	ID	Species	GeneName	Symbol
NM_000014	-4.79	0.102	239.75	2	Homo sapiens	alpha-2-macroglobulin(A2M)	A2M
NM_000015	-3.29	0.0767	313.17	10	Homo sapiens	N-acetyltransferase 2(NAT2)	NAT2
NM_000017	-0.99	0.325	3831.48	35	Homo sapiens	acyl-CoA dehydrogenase, C-2 to C-3 short chain(ACADS)	ACADS
NM_000018	-1.83	0.328	8959.17	37	Homo sapiens	acyl-CoA dehydrogenase, very long chain(ACADVL)	ACADVL
NM_000020	-0.34	0.674	28.2	94	Homo sapiens	activin A receptor like type 1(ACVRL1)	ACVRL1
NM_000021	-0.28	0.416	36976.42	5663	Homo sapiens	presenilin 1(PSEN1)	PSEN1
NM_000026	-0.25	0.368	1040.51	158	Homo sapiens	adenylosuccinate lyase(ADSL)	ADSL
NM_000027	-0.76	0.175	10663.01	175	Homo sapiens	aspartylglucosaminidase(AGA)	AGA
NM_000028	-0.15	0.745	799.39	178	Homo sapiens	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)	AGL
NM_000030	-4.54	0.167	23.24	189	Homo sapiens	alanine-glyoxylate aminotransferase(AGXT)	AGXT
NM_000032	-1.57	0.156	6.84	212	Homo sapiens	5'-aminolevulinate synthase 2(ALAS2)	alas2
NM_000033	-0.95	0.175	18586.13	215	Homo sapiens	ATP binding cassette subfamily D member 1(ABCD1)	ABCD1
NM_000036	-2.44	0.381	53.12	270	Homo sapiens	adenosine monophosphate deaminase 1(AMPD1)	AMPD1
NM_000039	-0.66	0.627	35.45	335	Homo sapiens	apolipoprotein A1(APOA1)	APOA1
NM_000041	-3.53	0.378	16254.14	348	Homo sapiens	apolipoprotein E(APOE)	APOE
NM_000045	-3.83	0.179	10.03	383	Homo sapiens	arginase 1(ARG1)	ARG1
NM_000048	-0.42	0.494	2724.39	435	Homo sapiens	argininosuccinate lyase(ASL)	ASL
NM_000049	-0.1	0.96	1.19	443	Homo sapiens	aspartoacylase(ASPA)	ASPA
NM_000050	-0.28	0.47	208	445	Homo sapiens	argininosuccinate synthase 1(ASS1)	ASS1
NM_000051	-0.55	0.318	12629.76	472	Homo sapiens	ATM serine/threonine kinase(ATM)	ATM
NM_000054	-1.72	0.212	55.62	554	Homo sapiens	arginine vasopressin receptor 2(AVPR2)	AVPR2
NM_000055	-1.1	0.53	3867.26	590	Homo sapiens	butyrylcholinesterase(BCHE)	BCHE
NM_000056	-0.1	0.862	2997.74	594	Homo sapiens	branched chain keto acid dehydrogenase E1 subunit beta(BCKDHB)	BCKDHB
NM_000060	-0.23	0.659	9864.74	686	Homo sapiens	biotinidase(BTD)	BTD
NM_000061	-1.86	0.419	24.16	695	Homo sapiens	Bruton tyrosine kinase(BTK)	BTK
NM_000063	-0.99	0.574	745.58	717	Homo sapiens	complement C2(C2)	C2
NM_000065	-0.04	0.347	0.97	729	Homo sapiens	complement C6(C6)	C6
NM_000067	-3	0.236	6441.11	760	Homo sapiens	carbonic anhydrase 2(CA2)	CA2
NM_000069	-2.46	0.152	25.97	779	Homo sapiens	calcium voltage-gated channel subunit alpha1 S(CACNA1S)	CACNA1S
NM_000070	-3.12	0.405	200.72	825	Homo sapiens	calpain 3(CAPN3)	CAPN3
NM_000072	-2.15	0.367	171.75	948	Homo sapiens	CD36 molecule(CD36)	CD36
NM_000074	-0.57	0.482	6.5	959	Homo sapiens	CD40 ligand(CD40LG)	CD40LG
NM_000080	-0.54	0.472	260.18	1145	Homo sapiens	cholinergic receptor nicotinic epsilon subunit(CHRNE)	CHRNE
