From_left	Log2Ratio	p_value	MaxRPKM	ID	Species	GeneName	Symbol
NM_000019	1	0.0829	41136.22	38	Homo sapiens	acetyl-CoA acetyltransferase 1(ACAT1)	ACAT1
NM_000022	1.42	0.0844	2282.31	100	Homo sapiens	adenosine deaminase(ADA)	ADA
NM_000023	8.62	0.315	393.7	6442	Homo sapiens	sarcoglycan alpha(SGCA)	SGCA
NM_000024	7.04	0.178	11735.79	154	Homo sapiens	adrenoceptor beta 2(ADRB2)	ADRB2
NM_000035	1.36	0.476	11.08	229	Homo sapiens	aldolase, fructose-bisphosphate B(ALDOB)	ALDOB
NM_000037	4.8	0.271	1485.74	286	Homo sapiens	ankyrin 1(ANK1)	ANK1
NM_000042	4.31	0.0661	19.82	350	Homo sapiens	apolipoprotein H(APOH)	APOH
NM_000043	1.61	0.166	4656.94	355	Homo sapiens	Fas cell surface death receptor(FAS)	FAS
NM_000062	2.9	0.395	2138.98	710	Homo sapiens	serpin family G member 1(SERPING1)	SERPING1
NM_000064	3.68	0.314	36229.39	718	Homo sapiens	complement C3(C3)	C3
NM_000076	1.41	0.265	664.78	1028	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)	CDKN1C
NM_000077	3.54	0.386	5827.7	1029	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)	CDKN2A
NM_000078	1.38	0.309	3.34	1071	Homo sapiens	cholesteryl ester transfer protein(CETP)	CETP
NM_000079	6.06	0.337	66.53	1134	Homo sapiens	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	CHRNA1
NM_000088	6.27	0.191	2305271.5	1277	Homo sapiens	collagen type I alpha 1 chain(COL1A1)	COL1A1
NM_000089	10.09	0.235	1589696.65	1278	Homo sapiens	collagen type I alpha 2 chain(COL1A2)	COL1A2
NM_000090	9.66	0.308	497962.46	1281	Homo sapiens	collagen type III alpha 1 chain(COL3A1)	COL3A1
NM_000093	5.28	0.18	351195.71	1289	Homo sapiens	collagen type V alpha 1 chain(COL5A1)	COL5A1
NM_000094	2.77	0.0818	33795.76	1294	Homo sapiens	collagen type VII alpha 1 chain(COL7A1)	COL7A1
NM_000095	1.08	0.46	4.26	1311	Homo sapiens	cartilage oligomeric matrix protein(COMP)	COMP
NM_000100	1.76	0.0789	87686.78	1476	Homo sapiens	cystatin B(CSTB)	CSTB
NM_000109	2.46	0.38	996.68	1756	Homo sapiens	dystrophin(DMD)	DMD
NM_000112	1.11	0.148	56612.05	1836	Homo sapiens	solute carrier family 26 member 2(SLC26A2)	SLC26A2
NM_000115	12.1	0.253	4401.79	1910	Homo sapiens	endothelin receptor type B(EDNRB)	EDNRB
NM_000118	1.87	0.0849	9702.55	2022	Homo sapiens	endoglin(ENG)	ENG
NM_000119	1.2	0.347	0.44	2038	Homo sapiens	erythrocyte membrane protein band 4.2(EPB42)	EPB42
NM_000121	1.3	0.277	789.33	2057	Homo sapiens	erythropoietin receptor(EPOR)	EPOR
NM_000129	6.34	0.347	80.78	2162	Homo sapiens	coagulation factor XIII A chain(F13A1)	F13A1
NM_000138	8.58	0.226	267508.15	2200	Homo sapiens	fibrillin 1(FBN1)	FBN1
NM_000165	2.3	0.0979	259890.05	2697	Homo sapiens	gap junction protein alpha 1(GJA1)	GJA1
NM_000184	4.8	0.2	27.78	3048	Homo sapiens	hemoglobin subunit gamma 2(HBG2)	HBG2
NM_000186	8.22	0.0729	25713.72	3075	Homo sapiens	complement factor H(CFH)	CFH
NM_000192	1.18	0.345	5.9	6910	Homo sapiens	T-box 5(TBX5)	TBX5
NM_000193	1.08	0.625	147.42	6469	Homo sapiens	sonic hedgehog(SHH)	SHH
NM_000206	2.87	0.398	90.82	3561	Homo sapiens	interleukin 2 receptor subunit gamma(IL2RG)	IL2RG
NM_000210	3.23	0.087	47058.26	3655	Homo sapiens	integrin subunit alpha 6(ITGA6)	ITGA6
NM_000212	6.1	0.0956	21814.71	3690	Homo sapiens	integrin subunit beta 3(ITGB3)	ITGB3
NM_000214	4.5	0.0861	115878.01	182	Homo sapiens	jagged 1(JAG1)	JAG1
NM_000217	4.2	0.342	44.85	3736	Homo sapiens	potassium voltage-gated channel subfamily A member 1(KCNA1)	KCNA1
NM_000226	1.45	0.491	55.77	3857	Homo sapiens	keratin 9(KRT9)	KRT9
NM_000228	3.97	0.338	28403.23	3914	Homo sapiens	laminin subunit beta 3(LAMB3)	LAMB3
NM_000229	1.14	0.084	4512.31	3931	Homo sapiens	lecithin-cholesterol acyltransferase(LCAT)	LCAT
NM_000237	3.4	0.143	261.25	4023	Homo sapiens	lipoprotein lipase(LPL)	LPL
NM_000240	2.7	0.228	9869.94	4128	Homo sapiens	monoamine oxidase A(MAOA)	MAOA
NM_000245	1.68	0.212	3800.11	4233	Homo sapiens	MET proto-oncogene, receptor tyrosine kinase(MET)	MET
NM_000246	1.62	0.345	172.54	4261	Homo sapiens	class II major histocompatibility complex transactivator(CIITA)	ciita
NM_000247	2.8	0.153	50233.07	100507436	Homo sapiens	MHC class I polypeptide-related sequence A(MICA)	MICA
NM_000248	4.86	0.262	3057.45	4286	Homo sapiens	melanogenesis associated transcription factor(MITF)	MITF
NM_000253	1.33	0.181	42.4	4547	Homo sapiens	microsomal triglyceride transfer protein(MTTP)	MTTP
NM_000268	1.39	0.0965	16127.56	4771	Homo sapiens	neurofibromin 2(NF2)	NF2
NM_000271	1.71	0.0571	77267.76	4864	Homo sapiens	NPC intracellular cholesterol transporter 1(NPC1)	NPC1
NM_000280	2.11	0.266	2241.53	5080	Homo sapiens	paired box 6(PAX6)	PAX6
NM_000297	1.47	0.0884	21986.2	5311	Homo sapiens	polycystin 2, transient receptor potential cation channel(PKD2)	PKD2
NM_000308	3.24	0.115	1192.9	5476	Homo sapiens	cathepsin A(CTSA)	CTSA
NM_000316	1.72	0.373	91.03	5745	Homo sapiens	parathyroid hormone 1 receptor(PTH1R)	PTH1R
NM_000320	1.37	0.167	9458.48	5860	Homo sapiens	quinoid dihydropteridine reductase(QDPR)	QDPR
NM_000329	3.49	0.156	11.24	6121	Homo sapiens	RPE65, retinoid isomerohydrolase(RPE65)	RPE65
NM_000331	5.73	0.297	592.86	6288	Homo sapiens	serum amyloid A1(SAA1)	SAA1
NM_000337	4.63	0.343	724.58	6444	Homo sapiens	sarcoglycan delta(SGCD)	SGCD
NM_000341	3.32	0.198	1201.86	6519	Homo sapiens	solute carrier family 3 member 1(SLC3A1)	SLC3A1
NM_000345	6.94	0.136	3080.83	6622	Homo sapiens	synuclein alpha(SNCA)	snca
NM_000355	3.55	0.0811	1315.49	6948	Homo sapiens	transcobalamin 2(TCN2)	TCN2
NM_000361	1.93	0.208	12769	7056	Homo sapiens	thrombomodulin(THBD)	THBD
NM_000362	5.02	0.142	170863.34	7078	Homo sapiens	TIMP metallopeptidase inhibitor 3(TIMP3)	TIMP3
NM_000372	3.61	0.34	53.2	7299	Homo sapiens	tyrosinase(TYR)	TYR
NM_000379	2.21	0.393	3404.88	7498	Homo sapiens	xanthine dehydrogenase(XDH)	XDH
NM_000381	3.14	0.154	14158.59	4281	Homo sapiens	midline 1(MID1)	MID1
NM_000384	3.45	0.169	113.07	338	Homo sapiens	apolipoprotein B(APOB)	APOB
NM_000393	7.19	0.057	223934.33	1290	Homo sapiens	collagen type V alpha 2 chain(COL5A2)	COL5A2
NM_000397	1.38	0.4	199.64	1536	Homo sapiens	cytochrome b-245 beta chain(CYBB)	CYBB
NM_000400	1.47	0.0875	8944.01	2068	Homo sapiens	ERCC excision repair 2, TFIIH core complex helicase subunit(ERCC2)	ERCC2
NM_000401	1.17	0.292	3983.59	2132	Homo sapiens	exostosin glycosyltransferase 2(EXT2)	EXT2
NM_000417	2	0.418	126	3559	Homo sapiens	interleukin 2 receptor subunit alpha(IL2RA)	IL2RA
NM_000422	4.58	0.363	20267.64	3872	Homo sapiens	keratin 17(KRT17)	krt17
NM_000428	2.7	0.0862	31239.41	4053	Homo sapiens	latent transforming growth factor beta binding protein 2(LTBP2)	LTBP2
NM_000432	2.47	0.156	5.55	4633	Homo sapiens	myosin light chain 2(MYL2)	MYL2
NM_000436	1.48	0.114	28416.28	5019	Homo sapiens	3-oxoacid CoA-transferase 1(OXCT1)	OXCT1
NM_000439	1.32	0.332	42.9	5122	Homo sapiens	proprotein convertase subtilisin/kexin type 1(PCSK1)	pcsk1
NM_000441	2.43	0.0836	94.76	5172	Homo sapiens	solute carrier family 26 member 4(SLC26A4)	SLC26A4
NM_000442	1.23	0.314	257.23	5175	Homo sapiens	platelet and endothelial cell adhesion molecule 1(PECAM1)	PECAM1
NM_000450	1.54	0.254	6.4	6401	Homo sapiens	selectin E(SELE)	SELE
NM_000459	6.63	0.135	99.38	7010	Homo sapiens	TEK receptor tyrosine kinase(TEK)	TEK
NM_000478	6.02	0.351	8975.93	249	Homo sapiens	alkaline phosphatase, liver/bone/kidney(ALPL)	ALPL
NM_000484	1.02	0.141	131122.1	351	Homo sapiens	amyloid beta precursor protein(APP)	APP
NM_000503	5.41	0.16	306.43	2138	Homo sapiens	EYA transcriptional coactivator and phosphatase 1(EYA1)	EYA1
